date,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,TS,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,WS50M_RANGE,WS10M_RANGE,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M
2015-01-01,-999.0,1.06,5.9,-7.34,1.19,0.0,83.99,99.23,4.95,-8.77,-8.7,-4.5,-9.45,-6.8,1.98,2.13,8.73,5.63,10.7,7.76,9.57,6.52
2015-01-02,-999.0,1.96,4.57,-11.85,0.34,0.0,80.1,100.47,14.15,-13.7,-13.5,-5.15,-19.3,-11.25,6.38,4.67,4.06,2.27,10.44,6.94,7.88,5.2
2015-01-03,-999.0,0.96,5.56,-17.79,8.8,0.0,89.99,101.66,15.7,-18.19,-18.03,-8.56,-24.26,-17.14,4.06,3.22,3.29,2.02,7.35,5.24,4.94,3.68
2015-01-04,-999.0,0.34,7.07,-3.62,20.51,0.0,98.73,98.84,8.22,-3.71,-3.7,0.51,-7.71,-3.19,9.74,7.9,1.76,0.97,11.5,8.87,6.42,4.32
2015-01-05,-999.0,1.89,4.52,-17.41,1.31,0.0,80.87,100.13,15.85,-18.8,-18.52,-8.12,-23.97,-17.15,6.01,5.55,6.84,4.16,12.85,9.71,11.1,8.1
2015-01-06,2.01,1.73,4.6,-18.94,0.46,0.0,89.28,100.38,12.03,-18.72,-18.58,-12.19,-24.22,-17.76,4.98,3.27,1.08,0.41,6.06,3.67,3.69,2.2
2015-01-07,-999.0,1.23,4.54,-18.98,1.39,0.0,90.68,99.83,19.46,-20.02,-19.7,-12.21,-31.66,-18.74,7.06,6.25,2.7,1.59,9.76,7.84,7.04,4.87
2015-01-08,-999.0,1.65,4.6,-23.77,0.96,0.0,100.0,100.33,22.8,-23.82,-23.63,-10.65,-33.46,-23.13,6.62,4.56,2.23,1.49,8.85,6.04,5.51,3.41
2015-01-09,-999.0,1.21,5.27,-11.03,2.48,0.0,85.14,99.31,9.99,-11.89,-11.82,-6.94,-16.93,-10.54,3.88,3.51,6.37,3.83,10.25,7.34,7.94,5.35
2015-01-10,-999.0,1.91,4.8,-15.2,0.12,0.0,84.42,100.7,10.91,-15.99,-15.85,-10.41,-21.33,-14.57,7.66,5.93,2.22,1.31,9.88,7.24,7.24,4.94
2015-01-11,-999.0,1.11,5.64,-11.26,0.19,0.0,85.31,101.29,8.9,-11.94,-11.87,-7.01,-15.92,-10.58,4.84,3.87,4.99,2.6,9.83,6.47,6.53,3.95
2015-01-12,-999.0,0.8,6.01,-9.19,2.58,0.0,93.53,100.88,17.77,-9.73,-9.67,-2.62,-20.39,-8.58,5.45,4.32,3.66,2.26,9.11,6.58,6.02,3.77
2015-01-13,2.2,2.14,3.49,-25.93,0.03,0.0,74.28,102.41,13.28,-25.82,-25.42,-17.71,-30.99,-24.64,5.63,2.74,1.39,1.36,7.02,4.1,4.71,2.99
2015-01-14,2.23,2.22,3.89,-25.7,0.19,0.0,80.65,101.44,10.83,-22.4,-22.19,-15.26,-26.08,-21.62,3.96,2.74,0.24,0.12,4.2,2.86,2.14,1.56
2015-01-15,-999.0,1.98,4.86,-17.4,0.99,0.0,91.36,100.1,14.06,-16.87,-16.82,-9.42,-23.48,-16.18,6.37,3.88,0.8,0.75,7.17,4.63,3.43,2.18
2015-01-16,-999.0,1.94,4.82,-14.56,1.61,0.0,87.81,99.57,19.25,-15.83,-15.61,-5.65,-24.9,-14.14,4.59,3.96,7.06,4.61,11.65,8.57,9.82,6.94
2015-01-17,2.26,2.22,4.13,-23.81,0.78,0.0,79.31,100.9,15.78,-24.82,-24.39,-15.86,-31.64,-23.46,6.84,4.66,0.87,0.71,7.72,5.36,4.63,3.15
2015-01-18,-999.0,1.74,6.25,-5.82,4.74,0.0,98.01,99.32,14.41,-5.78,-5.75,-0.25,-14.66,-4.95,6.78,3.48,0.82,0.51,7.6,3.98,4.75,2.67
2015-01-19,-999.0,0.9,6.25,-7.05,3.6,0.0,97.72,98.94,16.04,-7.62,-7.57,-1.67,-17.71,-6.64,5.73,5.99,4.23,2.12,9.97,8.1,7.82,5.47
2015-01-20,2.39,2.22,3.98,-21.21,0.05,0.0,78.4,99.77,6.2,-21.24,-21.09,-17.53,-23.73,-20.59,2.45,4.01,6.62,3.4,9.07,7.41,8.32,5.7
2015-01-21,2.41,2.41,3.89,-23.28,0.18,0.0,80.61,100.79,12.23,-22.04,-21.8,-13.93,-26.16,-21.12,6.12,3.39,0.28,0.23,6.4,3.61,3.54,2.16
