date,name
2012-01-02,New Year's Day
2012-04-06,Good Friday
2012-04-09,Easter Monday
2012-05-21,National Patriots' Day
2012-06-25,Nativity of Saint John the Baptist
2012-07-02,Canada Day
2012-09-03,Labour Day
2012-10-08,Thanksgiving
2012-12-25,Christmas Day
2013-01-01,New Year's Day
2013-03-29,Good Friday
2013-04-01,Easter Monday
2013-05-20,National Patriots' Day
2013-06-24,Nativity of Saint John the Baptist
2013-07-01,Canada Day
2013-09-02,Labour Day
2013-10-14,Thanksgiving
2013-12-25,Christmas Day
2014-01-01,New Year's Day
2014-04-18,Good Friday
2014-04-21,Easter Monday
2014-05-19,National Patriots' Day
2014-06-24,Nativity of Saint John the Baptist
2014-07-01,Canada Day
2014-09-01,Labour Day
2014-10-13,Thanksgiving
2014-12-25,Christmas Day
2015-01-01,New Year's Day
2015-04-03,Good Friday
2015-04-06,Easter Monday
2015-05-18,National Patriots' Day
2015-06-24,Nativity of Saint John the Baptist
2015-07-01,Canada Day
2015-09-07,Labour Day
2015-10-12,Thanksgiving
2015-12-25,Christmas Day
2016-01-01,New Year's Day
2016-03-25,Good Friday
2016-03-28,Easter Monday
2016-05-23,National Patriots' Day
2016-06-24,Nativity of Saint John the Baptist
2016-07-01,Canada Day
2016-09-05,Labour Day
2016-10-10,Thanksgiving
2016-12-26,Christmas Day
2017-01-02,New Year's Day
2017-04-14,Good Friday
2017-04-17,Easter Monday
2017-05-22,National Patriots' Day
2017-06-24,Nativity of Saint John the Baptist
2017-07-01,Canada Day
2017-09-04,Labour Day
2017-10-09,Thanksgiving
2017-12-25,Christmas Day
2018-01-01,New Year's Day
2018-03-30,Good Friday
2018-04-02,Easter Monday
2018-05-21,National Patriots' Day
2018-06-25,Nativity of Saint John the Baptist
2018-07-02,Canada Day
2018-09-03,Labour Day
2018-10-08,Thanksgiving
2018-12-25,Christmas Day
2020-01-01,New Year's Day
2020-04-10,Good Friday
2020-04-13,Easter Monday
2020-05-18,National Patriots' Day
2020-06-24,Nativity of Saint John the Baptist
2020-07-01,Canada Day
2020-09-07,Labour Day
2020-10-12,Thanksgiving
2020-12-25,Christmas Day
2020-01-01,New Year's Day
2020-04-10,Good Friday
2020-04-13,Easter Monday
2020-05-18,National Patriots' Day
2020-06-24,Nativity of Saint John the Baptist
2020-07-01,Canada Day
2020-09-07,Labour Day
2020-10-12,Thanksgiving
2020-12-25,Christmas Day
